BLAS `axpy` (level-1) Function
- data type: float
- vector size: 10000000 (38.15 MB)
- #SMs: 56
- #threads per block: 512
- #blocks: 86016
- Elasped time (axpy_h): 33.141186 (ms)
blockIdx.x: 65163, base: 8340864, len: 128
blockIdx.x: 65164, base: 8340992, len: 128
blockIdx.x: 65166, base: 8341248, len: 128
blockIdx.x: 65167, base: 8341376, len: 128
blockIdx.x: 65169, base: 8341632, len: 128
blockIdx.x: 65170, base: 8341760, len: 128
blockIdx.x: 65168, base: 8341504, len: 128
blockIdx.x: 65122, base: 8335616, len: 128
blockIdx.x: 65128, base: 8336384, len: 128
blockIdx.x: 65116, base: 8334848, len: 128
blockIdx.x: 65118, base: 8335104, len: 128
blockIdx.x: 65171, base: 8341888, len: 128
blockIdx.x: 65173, base: 8342144, len: 128
blockIdx.x: 65175, base: 8342400, len: 128
blockIdx.x: 65172, base: 8342016, len: 128
blockIdx.x: 65176, base: 8342528, len: 128
blockIdx.x: 65179, base: 8342912, len: 128
blockIdx.x: 65178, base: 8342784, len: 128
blockIdx.x: 65181, base: 8343168, len: 128
blockIdx.x: 65182, base: 8343296, len: 128
blockIdx.x: 65160, base: 8340480, len: 128
blockIdx.x: 65144, base: 8338432, len: 128
blockIdx.x: 65152, base: 8339456, len: 128
blockIdx.x: 65150, base: 8339200, len: 128
blockIdx.x: 65129, base: 8336512, len: 128
blockIdx.x: 65131, base: 8336768, len: 128
blockIdx.x: 65159, base: 8340352, len: 128
blockIdx.x: 65130, base: 8336640, len: 128
blockIdx.x: 65149, base: 8339072, len: 128
blockIdx.x: 65188, base: 8344064, len: 128
blockIdx.x: 65184, base: 8343552, len: 128
blockIdx.x: 65185, base: 8343680, len: 128
blockIdx.x: 65190, base: 8344320, len: 128
blockIdx.x: 65141, base: 8338048, len: 128
blockIdx.x: 65142, base: 8338176, len: 128
blockIdx.x: 65145, base: 8338560, len: 128
blockIdx.x: 65146, base: 8338688, len: 128
blockIdx.x: 65135, base: 8337280, len: 128
blockIdx.x: 65136, base: 8337408, len: 128
blockIdx.x: 65137, base: 8337536, len: 128
blockIdx.x: 65143, base: 8338304, len: 128
blockIdx.x: 65158, base: 8340224, len: 128
blockIdx.x: 65132, base: 8336896, len: 128
blockIdx.x: 65133, base: 8337024, len: 128
blockIdx.x: 65134, base: 8337152, len: 128
blockIdx.x: 65138, base: 8337664, len: 128
blockIdx.x: 65156, base: 8339968, len: 128
blockIdx.x: 65157, base: 8340096, len: 128
blockIdx.x: 65191, base: 8344448, len: 128
blockIdx.x: 65192, base: 8344576, len: 128
blockIdx.x: 65195, base: 8344960, len: 128
blockIdx.x: 65193, base: 8344704, len: 128
blockIdx.x: 65197, base: 8345216, len: 128
blockIdx.x: 65194, base: 8344832, len: 128
blockIdx.x: 65201, base: 8345728, len: 128
blockIdx.x: 65196, base: 8345088, len: 128
blockIdx.x: 65199, base: 8345472, len: 128
blockIdx.x: 65198, base: 8345344, len: 128
blockIdx.x: 65203, base: 8345984, len: 128
blockIdx.x: 65200, base: 8345600, len: 128
blockIdx.x: 65202, base: 8345856, len: 128
blockIdx.x: 65205, base: 8346240, len: 128
blockIdx.x: 65208, base: 8346624, len: 128
blockIdx.x: 65206, base: 8346368, len: 128
blockIdx.x: 65209, base: 8346752, len: 128
blockIdx.x: 65214, base: 8347392, len: 128
blockIdx.x: 65210, base: 8346880, len: 128
blockIdx.x: 65212, base: 8347136, len: 128
blockIdx.x: 65211, base: 8347008, len: 128
blockIdx.x: 65213, base: 8347264, len: 128
blockIdx.x: 65216, base: 8347648, len: 128
blockIdx.x: 65217, base: 8347776, len: 128
blockIdx.x: 65221, base: 8348288, len: 128
blockIdx.x: 65232, base: 8349696, len: 128
blockIdx.x: 65183, base: 8343424, len: 128
blockIdx.x: 65187, base: 8343936, len: 128
blockIdx.x: 65236, base: 8350208, len: 128
blockIdx.x: 65237, base: 8350336, len: 128
blockIdx.x: 65223, base: 8348544, len: 128
blockIdx.x: 65224, base: 8348672, len: 128
blockIdx.x: 65186, base: 8343808, len: 128
blockIdx.x: 65174, base: 8342272, len: 128
blockIdx.x: 65227, base: 8349056, len: 128
blockIdx.x: 65231, base: 8349568, len: 128
blockIdx.x: 65235, base: 8350080, len: 128
blockIdx.x: 65219, base: 8348032, len: 128
blockIdx.x: 65220, base: 8348160, len: 128
blockIdx.x: 65229, base: 8349312, len: 128
blockIdx.x: 65238, base: 8350464, len: 128
blockIdx.x: 65243, base: 8351104, len: 128
blockIdx.x: 65240, base: 8350720, len: 128
blockIdx.x: 65244, base: 8351232, len: 128
blockIdx.x: 65246, base: 8351488, len: 128
blockIdx.x: 65247, base: 8351616, len: 128
blockIdx.x: 65251, base: 8352128, len: 128
blockIdx.x: 65252, base: 8352256, len: 128
blockIdx.x: 65241, base: 8350848, len: 128
blockIdx.x: 65242, base: 8350976, len: 128
blockIdx.x: 65260, base: 8353280, len: 128
blockIdx.x: 65140, base: 8337920, len: 128
blockIdx.x: 65151, base: 8339328, len: 128
blockIdx.x: 65148, base: 8338944, len: 128
blockIdx.x: 65155, base: 8339840, len: 128
blockIdx.x: 65139, base: 8337792, len: 128
blockIdx.x: 65147, base: 8338816, len: 128
blockIdx.x: 65204, base: 8346112, len: 128
blockIdx.x: 65239, base: 8350592, len: 128
blockIdx.x: 65250, base: 8352000, len: 128
blockIdx.x: 65225, base: 8348800, len: 128
blockIdx.x: 65253, base: 8352384, len: 128
blockIdx.x: 65230, base: 8349440, len: 128
blockIdx.x: 65265, base: 8353920, len: 128
blockIdx.x: 65266, base: 8354048, len: 128
blockIdx.x: 65267, base: 8354176, len: 128
blockIdx.x: 65261, base: 8353408, len: 128
blockIdx.x: 65268, base: 8354304, len: 128
blockIdx.x: 65263, base: 8353664, len: 128
blockIdx.x: 65254, base: 8352512, len: 128
blockIdx.x: 65255, base: 8352640, len: 128
blockIdx.x: 65259, base: 8353152, len: 128
blockIdx.x: 65264, base: 8353792, len: 128
blockIdx.x: 65256, base: 8352768, len: 128
blockIdx.x: 65262, base: 8353536, len: 128
blockIdx.x: 65257, base: 8352896, len: 128
blockIdx.x: 65258, base: 8353024, len: 128
blockIdx.x: 65177, base: 8342656, len: 128
blockIdx.x: 65180, base: 8343040, len: 128
blockIdx.x: 65248, base: 8351744, len: 128
blockIdx.x: 65189, base: 8344192, len: 128
blockIdx.x: 65269, base: 8354432, len: 128
blockIdx.x: 65273, base: 8354944, len: 128
blockIdx.x: 65271, base: 8354688, len: 128
blockIdx.x: 65270, base: 8354560, len: 128
blockIdx.x: 65272, base: 8354816, len: 128
blockIdx.x: 65249, base: 8351872, len: 128
blockIdx.x: 65276, base: 8355328, len: 128
blockIdx.x: 65274, base: 8355072, len: 128
blockIdx.x: 65277, base: 8355456, len: 128
blockIdx.x: 65228, base: 8349184, len: 128
blockIdx.x: 65233, base: 8349824, len: 128
blockIdx.x: 65226, base: 8348928, len: 128
blockIdx.x: 65234, base: 8349952, len: 128
blockIdx.x: 65245, base: 8351360, len: 128
blockIdx.x: 65222, base: 8348416, len: 128
blockIdx.x: 65280, base: 8355840, len: 128
blockIdx.x: 65282, base: 8356096, len: 128
blockIdx.x: 65279, base: 8355712, len: 128
blockIdx.x: 65281, base: 8355968, len: 128
